symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,contractType
ETHBTC,ETH,BTC,TRADING,binance,spot,现货,
LTCBTC,LTC,BTC,TRADING,binance,spot,现货,
BNBBTC,BNB,BTC,TRADING,binance,spot,现货,
NEOBTC,NEO,BTC,TRADING,binance,spot,现货,
QTUMETH,QTUM,ETH,TRADING,binance,spot,现货,
GASBTC,GAS,BTC,TRADING,binance,spot,现货,
BNBETH,BNB,ETH,TRADING,binance,spot,现货,
BTCUSDT,BTC,USDT,TRADING,binance,spot,现货,
ETHUSDT,ETH,USDT,TRADING,binance,spot,现货,
LRCBTC,LRC,BTC,TRADING,binance,spot,现货,
LRCETH,LRC,ETH,TRADING,binance,spot,现货,
QTUMBTC,QTUM,BTC,TRADING,binance,spot,现货,
ZRXBTC,ZRX,BTC,TRADING,binance,spot,现货,
KNCBTC,KNC,BTC,TRADING,binance,spot,现货,
IOTABTC,IOTA,BTC,TRADING,binance,spot,现货,
IOTAETH,IOTA,ETH,TRADING,binance,spot,现货,
LINKBTC,LINK,BTC,TRADING,binance,spot,现货,
LINKETH,LINK,ETH,TRADING,binance,spot,现货,
XVGETH,XVG,ETH,TRADING,binance,spot,现货,
MTLBTC,MTL,BTC,TRADING,binance,spot,现货,
ETCETH,ETC,ETH,TRADING,binance,spot,现货,
ETCBTC,ETC,BTC,TRADING,binance,spot,现货,
ZECBTC,ZEC,BTC,TRADING,binance,spot,现货,
ZECETH,ZEC,ETH,TRADING,binance,spot,现货,
DASHBTC,DASH,BTC,TRADING,binance,spot,现货,
DASHETH,DASH,ETH,TRADING,binance,spot,现货,
REQBTC,REQ,BTC,TRADING,binance,spot,现货,
TRXBTC,TRX,BTC,TRADING,binance,spot,现货,
TRXETH,TRX,ETH,TRADING,binance,spot,现货,
POWRBTC,POWR,BTC,TRADING,binance,spot,现货,
POWRETH,POWR,ETH,TRADING,binance,spot,现货,
XRPBTC,XRP,BTC,TRADING,binance,spot,现货,
XRPETH,XRP,ETH,TRADING,binance,spot,现货,
ENJBTC,ENJ,BTC,TRADING,binance,spot,现货,
STORJBTC,STORJ,BTC,TRADING,binance,spot,现货,
BNBUSDT,BNB,USDT,TRADING,binance,spot,现货,
BATBTC,BAT,BTC,TRADING,binance,spot,现货,
NEOUSDT,NEO,USDT,TRADING,binance,spot,现货,
LSKBTC,LSK,BTC,TRADING,binance,spot,现货,
MANABTC,MANA,BTC,TRADING,binance,spot,现货,
MANAETH,MANA,ETH,TRADING,binance,spot,现货,
ADXBTC,ADX,BTC,TRADING,binance,spot,现货,
ADXETH,ADX,ETH,TRADING,binance,spot,现货,
ADABTC,ADA,BTC,TRADING,binance,spot,现货,
ADAETH,ADA,ETH,TRADING,binance,spot,现货,
XLMBTC,XLM,BTC,TRADING,binance,spot,现货,
XLMETH,XLM,ETH,TRADING,binance,spot,现货,
LTCETH,LTC,ETH,TRADING,binance,spot,现货,
LTCUSDT,LTC,USDT,TRADING,binance,spot,现货,
LTCBNB,LTC,BNB,TRADING,binance,spot,现货,
ICXBTC,ICX,BTC,TRADING,binance,spot,现货,
RLCBTC,RLC,BTC,TRADING,binance,spot,现货,
RLCETH,RLC,ETH,TRADING,binance,spot,现货,
PIVXBTC,PIVX,BTC,TRADING,binance,spot,现货,
