symbol,baseCurrency,quoteCurrency,status,displayName,fxStablecoin,maxSlippagePercentage,postOnly,limitOnly,cancelOnly,tradingDisabled,statusMessage,auctionMode,exchange,type,trading_type
DOT-USD,DOT,USD,online,DOT-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ALGO-BTC,ALGO,BTC,online,ALGO-BTC,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
METIS-USD,METIS,USD,online,METIS-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
VOXEL-USD,VOXEL,USD,online,VOXEL-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
GTC-USD,GTC,USD,online,GTC-USD,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
BTC-USDT,BTC,USDT,online,BTC-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
WIF-USD,WIF,USD,online,WIF/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
FORTH-USD,FORTH,USD,online,FORTH-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
ADA-USD,ADA,USD,online,ADA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
RAD-USD,RAD,USD,online,RAD-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
BOBA-USD,BOBA,USD,online,BOBA-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
CHZ-USD,CHZ,USD,online,CHZ-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
PUMP-USD,PUMP,USD,online,PUMP/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
G-USD,G,USD,online,G/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
JTO-USD,JTO,USD,online,JTO-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
EGLD-USD,EGLD,USD,online,EGLD-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
TOSHI-USD,TOSHI,USD,online,TOSHI/USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
JASMY-USD,JASMY,USD,online,JASMY-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
MASK-USDT,MASK,USDT,online,MASK-USDT,False,0.05000000,False,False,False,False,,False,coinbase,spot,现货
ERN-USD,ERN,USD,online,ERN-USD,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
APE-USDT,APE,USDT,online,APE-USDT,False,0.03000000,False,False,False,False,,False,coinbase,spot,现货
