total_exchanges,baseCurrency,coinbase_spot,coinbase_futures,okx_spot,okx_futures,binance_spot,binance_futures,upbit_spot,upbit_futures,hyperliquid_spot,hyperliquid_futures
3,ZORA,1,0,0,0,0,1,0,0,0,1
4,PUMP,1,0,1,0,0,1,0,0,0,1
2,OL,0,0,1,0,0,1,0,0,0,0
2,SQD,1,0,0,0,0,1,0,0,0,0
2,TAIKO,0,0,0,0,0,1,1,0,0,0
2,PUFFER,0,0,0,0,0,1,1,0,0,0
2,HYPE,0,0,0,0,0,1,0,0,0,1
3,MERL,0,0,1,0,0,1,0,0,0,1
2,SOON,0,0,0,0,0,1,1,0,0,0
2,ZKJ,0,0,1,0,0,1,0,0,0,0
2,DOOD,0,0,0,0,0,1,0,0,0,1
2,MEMEFI,0,0,1,0,0,1,0,0,0,0
2,DEEP,0,0,0,0,0,1,1,0,0,0
2,EPT,0,0,0,0,0,1,1,0,0,0
4,AERGO,1,0,1,0,0,1,1,0,0,0
2,XCN,1,0,0,0,0,1,0,0,0,0
4,PROMPT,1,0,1,0,0,1,0,0,0,1
4,ATH,1,0,1,0,0,1,1,0,0,0
2,WAL,0,0,0,0,0,1,1,0,0,0
2,MAVIA,0,0,0,0,0,1,0,0,0,1
4,IP,1,0,1,0,0,1,0,0,0,1
2,B3,1,0,0,0,0,1,0,0,0,0
3,VVV,1,0,0,0,0,1,0,0,0,1
3,VINE,0,0,1,0,0,1,0,0,0,1
2,MELANIA,0,0,0,0,0,1,0,0,0,1
3,SONIC,0,0,1,0,0,1,1,0,0,0
2,ZEREBRO,0,0,0,0,0,1,0,0,0,1
2,AI16Z,0,0,0,0,0,1,0,0,0,1
2,GRIFFAIN,0,0,0,0,0,1,0,0,0,1
3,FARTCOIN,1,0,0,0,0,1,0,0,0,1
2,MOCA,0,0,0,0,0,1,1,0,0,0
2,SPX,0,0,0,0,0,1,0,0,0,1
2,AERO,1,0,0,0,0,1,0,0,0,0
2,CHILLGUY,0,0,0,0,0,1,0,0,0,1
4,MORPHO,1,0,1,0,0,1,0,0,0,1
2,SLERF,0,0,1,0,0,1,0,0,0,0
3,AKT,1,0,0,0,0,1,1,0,0,0
3,DEGEN,1,0,1,0,0,1,0,0,0,0
3,SWELL,1,0,0,0,0,1,1,0,0,0
3,DRIFT,1,0,0,0,0,1,1,0,0,0
2,GRASS,0,0,0,0,0,1,0,0,0,1
4,SAFE,1,0,1,0,0,1,1,0,0,0
5,MOODENG,1,0,1,0,0,1,1,0,0,1
3,GOAT,0,0,1,0,0,1,0,0,0,1
3,UXLINK,0,0,1,0,0,1,1,0,0,0
2,NEIROETH,0,0,0,0,0,1,0,0,0,1
3,POPCAT,1,0,0,0,0,1,0,0,0,1
3,BRETT,0,0,0,0,0,1,1,0,0,1
4,MEW,0,0,1,0,0,1,1,0,0,1
2,MYRO,0,0,0,0,0,1,0,0,0,1
5,ZETA,1,0,1,0,0,1,1,0,0,1
2,ETHW,0,0,1,0,0,1,0,0,0,0
2,KAS,0,0,0,0,0,1,0,0,0,1
3,BSV,0,0,0,0,0,1,1,0,0,1
2,ALPHA,0,0,1,0,0,1,0,0,0,0
2,TREE,1,0,0,0,1,1,0,0,0,0
3,ERA,1,0,0,0,1,1,1,0,0,0
3,LA,1,0,0,0,1,1,1,0,0,0
3,SAHARA,0,0,1,0,1,1,1,0,0,0
3,NEWT,1,0,0,0,1,1,1,0,0,0
3,SPK,1,0,1,0,1,1,0,0,0,0
2,HOME,1,0,0,0,1,1,0,0,0,0
3,RESOLV,0,0,1,0,1,1,0,0,0,1
3,DAI,1,0,1,0,1,0,0,0,0,0
4,SOPH,0,0,1,0,1,1,1,0,0,1
3,A,0,0,1,0,1,1,1,0,0,0
3,HUMA,0,0,1,0,1,1,1,0,0,0
2,HAEDAL,0,0,0,0,1,1,1,0,0,0
2,AWE,0,0,0,0,1,1,1,0,0,0
3,NXPC,0,0,0,0,1,1,1,0,0,1
2,SXT,1,0,0,0,1,1,0,0,0,0
2,KMNO,0,0,1,0,1,1,0,0,0,0
4,SYRUP,1,0,0,0,1,1,1,0,0,1
2,SIGN,0,0,0,0,1,1,1,0,0,0
2,INIT,0,0,0,0,1,1,0,0,0,1
3,HYPER,0,0,0,0,1,1,1,0,0,1
4,WCT,0,0,1,0,1,1,1,0,0,1
3,KERNEL,1,0,0,0,1,1,1,0,0,0
3,VIRTUAL,0,0,0,0,1,1,1,0,0,1
5,BIGTIME,1,0,1,0,1,1,1,0,0,1
5,ONDO,1,0,1,0,1,1,1,0,0,1
4,BABY,0,0,1,0,1,1,1,0,0,1
2,PARTI,0,0,1,0,1,1,0,0,0,0
2,NIL,0,0,0,0,1,1,0,0,0,1
3,RED,1,0,0,0,1,1,1,0,0,0
2,SHELL,0,0,0,0,1,1,1,0,0,0
5,KAITO,1,0,1,0,1,1,1,0,0,1
4,LAYER,0,0,1,0,1,1,1,0,0,1
2,TST,0,0,0,0,1,1,0,0,0,1
