symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,asset_id,decimals,szDecimals,priceDecimals,isLinear
BTC,BTC,USD,TRADING,hyperliquid,perpetual,永续合约,0,0,5,0,True
ETH,ETH,USD,TRADING,hyperliquid,perpetual,永续合约,1,0,4,0,True
ATOM,ATOM,USD,TRADING,hyperliquid,perpetual,永续合约,2,0,2,0,True
MATIC,MATIC,USD,TRADING,hyperliquid,perpetual,永续合约,3,0,1,0,True
DYDX,DYDX,USD,TRADING,hyperliquid,perpetual,永续合约,4,0,1,0,True
SOL,SOL,USD,TRADING,hyperliquid,perpetual,永续合约,5,0,2,0,True
AVAX,AVAX,USD,TRADING,hyperliquid,perpetual,永续合约,6,0,2,0,True
BNB,BNB,USD,TRADING,hyperliquid,perpetual,永续合约,7,0,3,0,True
APE,APE,USD,TRADING,hyperliquid,perpetual,永续合约,8,0,1,0,True
OP,OP,USD,TRADING,hyperliquid,perpetual,永续合约,9,0,1,0,True
LTC,LTC,USD,TRADING,hyperliquid,perpetual,永续合约,10,0,2,0,True
ARB,ARB,USD,TRADING,hyperliquid,perpetual,永续合约,11,0,1,0,True
DOGE,DOGE,USD,TRADING,hyperliquid,perpetual,永续合约,12,0,0,0,True
INJ,INJ,USD,TRADING,hyperliquid,perpetual,永续合约,13,0,1,0,True
SUI,SUI,USD,TRADING,hyperliquid,perpetual,永续合约,14,0,1,0,True
kPEPE,kPEPE,USD,TRADING,hyperliquid,perpetual,永续合约,15,0,0,0,True
CRV,CRV,USD,TRADING,hyperliquid,perpetual,永续合约,16,0,1,0,True
LDO,LDO,USD,TRADING,hyperliquid,perpetual,永续合约,17,0,1,0,True
LINK,LINK,USD,TRADING,hyperliquid,perpetual,永续合约,18,0,1,0,True
STX,STX,USD,TRADING,hyperliquid,perpetual,永续合约,19,0,1,0,True
RNDR,RNDR,USD,TRADING,hyperliquid,perpetual,永续合约,20,0,1,0,True
CFX,CFX,USD,TRADING,hyperliquid,perpetual,永续合约,21,0,0,0,True
FTM,FTM,USD,TRADING,hyperliquid,perpetual,永续合约,22,0,0,0,True
GMX,GMX,USD,TRADING,hyperliquid,perpetual,永续合约,23,0,2,0,True
SNX,SNX,USD,TRADING,hyperliquid,perpetual,永续合约,24,0,1,0,True
XRP,XRP,USD,TRADING,hyperliquid,perpetual,永续合约,25,0,0,0,True
BCH,BCH,USD,TRADING,hyperliquid,perpetual,永续合约,26,0,3,0,True
APT,APT,USD,TRADING,hyperliquid,perpetual,永续合约,27,0,2,0,True
AAVE,AAVE,USD,TRADING,hyperliquid,perpetual,永续合约,28,0,2,0,True
COMP,COMP,USD,TRADING,hyperliquid,perpetual,永续合约,29,0,2,0,True
MKR,MKR,USD,TRADING,hyperliquid,perpetual,永续合约,30,0,4,0,True
WLD,WLD,USD,TRADING,hyperliquid,perpetual,永续合约,31,0,1,0,True
FXS,FXS,USD,TRADING,hyperliquid,perpetual,永续合约,32,0,1,0,True
HPOS,HPOS,USD,TRADING,hyperliquid,perpetual,永续合约,33,0,0,0,True
RLB,RLB,USD,TRADING,hyperliquid,perpetual,永续合约,34,0,0,0,True
UNIBOT,UNIBOT,USD,TRADING,hyperliquid,perpetual,永续合约,35,0,3,0,True
YGG,YGG,USD,TRADING,hyperliquid,perpetual,永续合约,36,0,0,0,True
TRX,TRX,USD,TRADING,hyperliquid,perpetual,永续合约,37,0,0,0,True
kSHIB,kSHIB,USD,TRADING,hyperliquid,perpetual,永续合约,38,0,0,0,True
UNI,UNI,USD,TRADING,hyperliquid,perpetual,永续合约,39,0,1,0,True
SEI,SEI,USD,TRADING,hyperliquid,perpetual,永续合约,40,0,0,0,True
RUNE,RUNE,USD,TRADING,hyperliquid,perpetual,永续合约,41,0,1,0,True
OX,OX,USD,TRADING,hyperliquid,perpetual,永续合约,42,0,0,0,True
FRIEND,FRIEND,USD,TRADING,hyperliquid,perpetual,永续合约,43,0,1,0,True
SHIA,SHIA,USD,TRADING,hyperliquid,perpetual,永续合约,44,0,0,0,True
