symbol,baseCurrency,quoteCurrency,state,category,listTime,exchange,type,trading_type,contractType,expTime
USDT-SGD,USDT,SGD,live,1,1734678000000,okx,spot,现货,,
USDC-SGD,USDC,SGD,live,1,1734678600000,okx,spot,现货,,
BTC-AUD,BTC,AUD,live,1,1723782600000,okx,spot,现货,,
ETH-AUD,ETH,AUD,live,1,1723784400000,okx,spot,现货,,
SOL-AUD,SOL,AUD,live,1,1733798100000,okx,spot,现货,,
XRP-AUD,XRP,AUD,live,1,1733798400000,okx,spot,现货,,
TRUMP-AUD,TRUMP,AUD,live,1,1737543000000,okx,spot,现货,,
USDT-AUD,USDT,AUD,live,1,1723779000000,okx,spot,现货,,
USDC-AUD,USDC,AUD,live,1,1723780800000,okx,spot,现货,,
BTC-AED,BTC,AED,live,1,1726545900000,okx,spot,现货,,
ETH-AED,ETH,AED,live,1,1726546200000,okx,spot,现货,,
SOL-AED,SOL,AED,live,1,1733799900000,okx,spot,现货,,
XRP-AED,XRP,AED,live,1,1733800200000,okx,spot,现货,,
TRUMP-AED,TRUMP,AED,live,1,1737542400000,okx,spot,现货,,
USDT-AED,USDT,AED,live,1,1726545600000,okx,spot,现货,,
BTC-BRL,BTC,BRL,live,1,1707359400000,okx,spot,现货,,
ETH-BRL,ETH,BRL,live,1,1707360300000,okx,spot,现货,,
SOL-BRL,SOL,BRL,live,1,1733799300000,okx,spot,现货,,
XRP-BRL,XRP,BRL,live,1,1733799600000,okx,spot,现货,,
PI-BRL,PI,BRL,live,1,1741338000000,okx,spot,现货,,
PEPE-BRL,PEPE,BRL,live,1,1715045400000,okx,spot,现货,,
TRUMP-BRL,TRUMP,BRL,live,1,1737542100000,okx,spot,现货,,
USDT-BRL,USDT,BRL,live,1,1707361200000,okx,spot,现货,,
USDC-BRL,USDC,BRL,live,1,1715044800000,okx,spot,现货,,
BTC-EUR,BTC,EUR,live,1,1700539860000,okx,spot,现货,,
ETH-EUR,ETH,EUR,live,1,1700539860000,okx,spot,现货,,
SOL-EUR,SOL,EUR,live,1,1700539860000,okx,spot,现货,,
TON-EUR,TON,EUR,live,1,1710393000000,okx,spot,现货,,
DOGE-EUR,DOGE,EUR,live,1,1700539860000,okx,spot,现货,,
XRP-EUR,XRP,EUR,live,1,1710383400000,okx,spot,现货,,
PI-EUR,PI,EUR,live,1,1741336200000,okx,spot,现货,,
1INCH-EUR,1INCH,EUR,live,1,1700539860000,okx,spot,现货,,
AAVE-EUR,AAVE,EUR,live,1,1710389100000,okx,spot,现货,,
ADA-EUR,ADA,EUR,live,1,1700539860000,okx,spot,现货,,
ALGO-EUR,ALGO,EUR,live,1,1710388200000,okx,spot,现货,,
APE-EUR,APE,EUR,live,1,1710390600000,okx,spot,现货,,
APT-EUR,APT,EUR,live,1,1710385500000,okx,spot,现货,,
ARB-EUR,ARB,EUR,live,1,1710387300000,okx,spot,现货,,
ASTR-EUR,ASTR,EUR,live,1,1710391800000,okx,spot,现货,,
ATOM-EUR,ATOM,EUR,live,1,1710384900000,okx,spot,现货,,
AVAX-EUR,AVAX,EUR,live,1,1700539860000,okx,spot,现货,,
AXS-EUR,AXS,EUR,live,1,1710391200000,okx,spot,现货,,
BAL-EUR,BAL,EUR,live,1,1715073000000,okx,spot,现货,,
BAT-EUR,BAT,EUR,live,1,1715073600000,okx,spot,现货,,
CHZ-EUR,CHZ,EUR,live,1,1710390900000,okx,spot,现货,,
COMP-EUR,COMP,EUR,live,1,1700539860000,okx,spot,现货,,
CRO-EUR,CRO,EUR,live,1,1710387000000,okx,spot,现货,,
CRV-EUR,CRV,EUR,live,1,1700539860000,okx,spot,现货,,
DOT-EUR,DOT,EUR,live,1,1700539860000,okx,spot,现货,,
DYDX-EUR,DYDX,EUR,live,1,1700539860000,okx,spot,现货,,
EGLD-EUR,EGLD,EUR,live,1,1710388500000,okx,spot,现货,,
FET-EUR,FET,EUR,live,1,1710991800000,okx,spot,现货,,
FLOW-EUR,FLOW,EUR,live,1,1710388800000,okx,spot,现货,,
FLR-EUR,FLR,EUR,live,1,1710387900000,okx,spot,现货,,
FXS-EUR,FXS,EUR,live,1,1710990000000,okx,spot,现货,,
GRT-EUR,GRT,EUR,live,1,1710386700000,okx,spot,现货,,
HBAR-EUR,HBAR,EUR,live,1,1710394200000,okx,spot,现货,,
ICP-EUR,ICP,EUR,live,1,1710393300000,okx,spot,现货,,
IMX-EUR,IMX,EUR,live,1,1710393600000,okx,spot,现货,,
INJ-EUR,INJ,EUR,live,1,1710993600000,okx,spot,现货,,
JTO-EUR,JTO,EUR,live,1,1715074800000,okx,spot,现货,,
LDO-EUR,LDO,EUR,live,1,1710392400000,okx,spot,现货,,
LINK-EUR,LINK,EUR,live,1,1700539860000,okx,spot,现货,,
LTC-EUR,LTC,EUR,live,1,1700539860000,okx,spot,现货,,
LUNC-EUR,LUNC,EUR,live,1,1715076600000,okx,spot,现货,,
MANA-EUR,MANA,EUR,live,1,1710392100000,okx,spot,现货,,
MINA-EUR,MINA,EUR,live,1,1710389400000,okx,spot,现货,,
MKR-EUR,MKR,EUR,live,1,1710387600000,okx,spot,现货,,
OP-EUR,OP,EUR,live,1,1710393900000,okx,spot,现货,,
SAND-EUR,SAND,EUR,live,1,1710390300000,okx,spot,现货,,
SHIB-EUR,SHIB,EUR,live,1,1700539860000,okx,spot,现货,,
SNX-EUR,SNX,EUR,live,1,1710389700000,okx,spot,现货,,
STX-EUR,STX,EUR,live,1,1710385200000,okx,spot,现货,,
SUI-EUR,SUI,EUR,live,1,1715072400000,okx,spot,现货,,
SUSHI-EUR,SUSHI,EUR,live,1,1700049745000,okx,spot,现货,,
TRUMP-EUR,TRUMP,EUR,live,1,1737542700000,okx,spot,现货,,
TRX-EUR,TRX,EUR,live,1,1700539860000,okx,spot,现货,,
UNI-EUR,UNI,EUR,live,1,1700539860000,okx,spot,现货,,
USDT-EUR,USDT,EUR,live,1,1700049040000,okx,spot,现货,,
USDC-EUR,USDC,EUR,live,1,1700539860000,okx,spot,现货,,
WIF-EUR,WIF,EUR,live,1,1715074200000,okx,spot,现货,,
WOO-EUR,WOO,EUR,live,1,1710988200000,okx,spot,现货,,
XLM-EUR,XLM,EUR,live,1,1710386400000,okx,spot,现货,,
XTZ-EUR,XTZ,EUR,live,1,1710391500000,okx,spot,现货,,
YGG-EUR,YGG,EUR,live,1,1715076000000,okx,spot,现货,,
BTC-USD,BTC,USD,live,1,1733454000000,okx,spot,现货,,
ETH-USD,ETH,USD,live,1,1733455800000,okx,spot,现货,,
SOL-USD,SOL,USD,live,1,1733457600000,okx,spot,现货,,
TON-USD,TON,USD,live,1,1744093200000,okx,spot,现货,,
DOGE-USD,DOGE,USD,live,1,1736907600000,okx,spot,现货,,
XRP-USD,XRP,USD,live,1,1733797800000,okx,spot,现货,,
PI-USD,PI,USD,live,1,1740108600000,okx,spot,现货,,
PUMP-USD,PUMP,USD,live,1,1752829200000,okx,spot,现货,,
A-USD,A,USD,live,1,1748520000000,okx,spot,现货,,
AAVE-USD,AAVE,USD,live,1,1736907900000,okx,spot,现货,,
ACA-USD,ACA,USD,live,1,1742882400000,okx,spot,现货,,
ACE-USD,ACE,USD,live,1,1742277600000,okx,spot,现货,,
ACH-USD,ACH,USD,live,1,1738923000000,okx,spot,现货,,
ADA-USD,ADA,USD,live,1,1743487200000,okx,spot,现货,,
AERGO-USD,AERGO,USD,live,1,1742277900000,okx,spot,现货,,
AEVO-USD,AEVO,USD,live,1,1743487500000,okx,spot,现货,,
AGLD-USD,AGLD,USD,live,1,1743487800000,okx,spot,现货,,
AIXBT-USD,AIXBT,USD,live,1,1740032700000,okx,spot,现货,,
ALGO-USD,ALGO,USD,live,1,1743488100000,okx,spot,现货,,
ALPHA-USD,ALPHA,USD,live,1,1742882700000,okx,spot,现货,,
ANIME-USD,ANIME,USD,live,1,1737689400000,okx,spot,现货,,
APE-USD,APE,USD,live,1,1743488400000,okx,spot,现货,,
API3-USD,API3,USD,live,1,1742883000000,okx,spot,现货,,
APT-USD,APT,USD,live,1,1743488700000,okx,spot,现货,,
AR-USD,AR,USD,live,1,1742278200000,okx,spot,现货,,
ARB-USD,ARB,USD,live,1,1736908200000,okx,spot,现货,,
ARG-USD,ARG,USD,live,1,1742278500000,okx,spot,现货,,
ARKM-USD,ARKM,USD,live,1,1743489000000,okx,spot,现货,,
ASP-USD,ASP,USD,live,1,1753365600000,okx,spot,现货,,
ASTR-USD,ASTR,USD,live,1,1742883300000,okx,spot,现货,,
ATH-USD,ATH,USD,live,1,1737973500000,okx,spot,现货,,
ATOM-USD,ATOM,USD,live,1,1743489300000,okx,spot,现货,,
AUCTION-USD,AUCTION,USD,live,1,1742883600000,okx,spot,现货,,
AVAX-USD,AVAX,USD,live,1,1736908500000,okx,spot,现货,,
AXS-USD,AXS,USD,live,1,1742883900000,okx,spot,现货,,
BABYDOGE-USD,BABYDOGE,USD,live,1,1742279100000,okx,spot,现货,,
BABY-USD,BABY,USD,live,1,1744287300000,okx,spot,现货,,
BADGER-USD,BADGER,USD,live,1,1742884200000,okx,spot,现货,,
BAL-USD,BAL,USD,live,1,1742884500000,okx,spot,现货,,
BANANA-USD,BANANA,USD,live,1,1738921200000,okx,spot,现货,,
BAND-USD,BAND,USD,live,1,1742884800000,okx,spot,现货,,
BAT-USD,BAT,USD,live,1,1742885100000,okx,spot,现货,,
BCH-USD,BCH,USD,live,1,1743489600000,okx,spot,现货,,
BERA-USD,BERA,USD,live,1,1738899000000,okx,spot,现货,,
BICO-USD,BICO,USD,live,1,1742885400000,okx,spot,现货,,
BIGTIME-USD,BIGTIME,USD,live,1,1744265100000,okx,spot,现货,,
BIO-USD,BIO,USD,live,1,1740033000000,okx,spot,现货,,
BLUR-USD,BLUR,USD,live,1,1743489900000,okx,spot,现货,,
BNB-USD,BNB,USD,live,1,1742279400000,okx,spot,现货,,
BNT-USD,BNT,USD,live,1,1741848600000,okx,spot,现货,,
BOME-USD,BOME,USD,live,1,1737973200000,okx,spot,现货,,
BONK-USD,BONK,USD,live,1,1743490200000,okx,spot,现货,,
CATI-USD,CATI,USD,live,1,1740031800000,okx,spot,现货,,
CAT-USD,CAT,USD,live,1,1742280900000,okx,spot,现货,,
CELO-USD,CELO,USD,live,1,1742281200000,okx,spot,现货,,
CELR-USD,CELR,USD,live,1,1742885700000,okx,spot,现货,,
CETUS-USD,CETUS,USD,live,1,1742281500000,okx,spot,现货,,
