total_exchanges,baseCurrency,coinbase_spot,coinbase_futures,okx_spot,okx_futures,binance_spot,binance_futures,upbit_spot,upbit_futures,hyperliquid_spot,hyperliquid_futures
1,TA,0,0,0,0,0,1,0,0,0,0
1,TAC,0,0,0,0,0,1,0,0,0,0
1,VELVET,0,0,0,0,0,1,0,0,0,0
1,AIN,0,0,0,0,0,1,0,0,0,0
1,CROSS,0,0,0,0,0,1,0,0,0,0
1,TANSSI,0,0,0,0,0,1,0,0,0,0
1,M,0,0,0,0,0,1,0,0,0,0
1,IDOL,0,0,0,0,0,1,0,0,0,0
1,BULLA,0,0,0,0,0,1,0,0,0,0
1,ICNT,0,0,0,0,0,1,0,0,0,0
1,H,0,0,0,0,0,1,0,0,0,0
1,DMC,0,0,0,0,0,1,0,0,0,0
1,F,0,0,0,0,0,1,0,0,0,0
1,MYX,0,0,0,0,0,1,0,0,0,0
1,PUMPBTC,0,0,0,0,0,1,0,0,0,0
1,SKATE,0,0,0,0,0,1,0,0,0,0
1,1000000BOB,0,0,0,0,0,1,0,0,0,0
1,PORT3,0,0,0,0,0,1,0,0,0,0
1,BDXN,0,0,0,0,0,1,0,0,0,0
1,B,0,0,0,0,0,1,0,0,0,0
1,AGT,0,0,0,0,0,1,0,0,0,0
1,SKYAI,0,0,0,0,0,1,0,0,0,0
1,OBOL,0,0,0,0,0,1,0,0,0,0
1,MILK,0,0,0,0,0,1,0,0,0,0
1,B2,0,0,0,0,0,1,0,0,0,0
1,DOLO,0,0,0,0,0,1,0,0,0,0
1,AIOT,0,0,0,0,0,1,0,0,0,0
1,BANK,0,0,0,0,0,1,0,0,0,0
1,FHE,0,0,0,0,0,1,0,0,0,0
1,JELLYJELLY,0,0,0,0,0,1,0,0,0,0
1,PLUME,0,0,0,0,0,1,0,0,0,0
1,BR,0,0,0,0,0,1,0,0,0,0
1,SIREN,0,0,0,0,0,1,0,0,0,0
1,BROCCOLIF3B,0,0,0,0,0,1,0,0,0,0
1,BID,0,0,0,0,0,1,0,0,0,0
1,PIPPIN,0,0,0,0,0,1,0,0,0,0
1,AVAAI,0,0,0,0,0,1,0,0,0,0
1,ARC,0,0,0,0,0,1,0,0,0,0
1,SWARMS,0,0,0,0,0,1,0,0,0,0
1,ALCH,0,0,0,0,0,1,0,0,0,0
1,KOMA,0,0,0,0,0,1,0,0,0,0
1,RAYSOL,0,0,0,0,0,1,0,0,0,0
1,1000WHY,0,0,0,0,0,1,0,0,0,0
1,BAN,0,0,0,0,0,1,0,0,0,0
1,1000X,0,0,0,0,0,1,0,0,0,0
1,HIPPO,0,0,0,0,0,1,0,0,0,0
1,1000000MOG,0,0,0,0,0,1,0,0,0,0
1,PONKE,0,0,0,0,0,1,0,0,0,0
1,BSW,0,0,0,0,0,1,0,0,0,0
1,1000RATS,0,0,0,0,0,1,0,0,0,0
1,1000BONK,0,0,0,0,0,1,0,0,0,0
1,TOKEN,0,0,0,0,0,1,0,0,0,0
1,DODOX,0,0,0,0,0,1,0,0,0,0
1,1000FLOKI,0,0,0,0,0,1,0,0,0,0
1,1000PEPE,0,0,0,0,0,1,0,0,0,0
1,LEVER,0,0,0,0,0,1,0,0,0,0
1,LUNA2,0,0,0,0,0,1,0,0,0,0
1,1000LUNC,0,0,0,0,0,1,0,0,0,0
1,1000XEC,0,0,0,0,0,1,0,0,0,0
1,BTCDOM,0,0,0,0,0,1,0,0,0,0
1,1000SHIB,0,0,0,0,0,1,0,0,0,0
1,DEFI,0,0,0,0,0,1,0,0,0,0
1,XMR,0,0,0,0,0,1,0,0,0,0
1,C,0,0,0,0,1,1,0,0,0,0
1,USD1,0,0,0,0,1,0,0,0,0,0
1,STO,0,0,0,0,1,1,0,0,0,0
1,GUN,0,0,0,0,1,1,0,0,0,0
1,BANANAS31,0,0,0,0,1,1,0,0,0,0
1,BROCCOLI714,0,0,0,0,1,1,0,0,0,0
1,TUT,0,0,0,0,1,1,0,0,0,0
1,MUBARAK,0,0,0,0,1,1,0,0,0,0
1,XUSD,0,0,0,0,1,0,0,0,0,0
1,FORM,0,0,0,0,1,1,0,0,0,0
1,BMT,0,0,0,0,1,1,0,0,0,0
1,EPIC,0,0,0,0,1,1,0,0,0,0
1,GPS,0,0,0,0,1,1,0,0,0,0
1,HEI,0,0,0,0,1,1,0,0,0,0
1,1000CHEEMS,0,0,0,0,1,1,0,0,0,0
1,SOLV,0,0,0,0,1,1,0,0,0,0
1,CGPT,0,0,0,0,1,1,0,0,0,0
1,D,0,0,0,0,1,1,0,0,0,0
1,1000CAT,0,0,0,0,1,1,0,0,0,0
1,THE,0,0,0,0,1,1,0,0,0,0
1,LUMIA,0,0,0,0,1,1,0,0,0,0
1,BNSOL,0,0,0,0,1,0,0,0,0,0
1,1MBABYDOGE,0,0,0,0,1,1,0,0,0,0
1,SLF,0,0,0,0,1,0,0,0,0,0
1,EURI,0,0,0,0,1,0,0,0,0,0
1,BB,0,0,0,0,1,1,0,0,0,0
1,PORTAL,0,0,0,0,1,1,0,0,0,0
1,NFP,0,0,0,0,1,1,0,0,0,0
1,1000SATS,0,0,0,0,1,1,0,0,0,0
1,AEUR,0,0,0,0,1,0,0,0,0,0
1,VANRY,0,0,0,0,1,1,0,0,0,0
1,VIC,0,0,0,0,1,1,0,0,0,0
1,BEAMX,0,0,0,0,1,1,0,0,0,0
1,FDUSD,0,0,0,0,1,0,0,0,0,0
1,WBETH,0,0,0,0,1,0,0,0,0,0
1,EDU,0,0,0,0,1,1,0,0,0,0
1,XAUT,0,0,1,0,0,0,0,0,0,0
1,USDG,0,0,1,0,0,0,0,0,0,0
1,SYN,0,0,0,0,1,1,0,0,0,0
1,GNS,0,0,0,0,1,0,0,0,0,0
1,HIFI,0,0,0,0,1,1,0,0,0,0
1,HOOK,0,0,0,0,1,1,0,0,0,0
1,RUNECOIN,0,0,1,0,0,0,0,0,0,0
1,NEXO,0,0,0,0,1,0,0,0,0,0
1,PYUSD,0,0,1,0,0,0,0,0,0,0
1,BIFI,0,0,0,0,1,0,0,0,0,0
1,ALPINE,0,0,0,0,1,1,0,0,0,0
1,OKT,0,0,1,0,0,0,0,0,0,0
1,OKSOL,0,0,1,0,0,0,0,0,0,0
1,NFT,0,0,1,0,0,0,0,0,0,0
1,XNO,0,0,0,0,1,0,0,0,0,0
1,BTTC,0,0,0,0,1,0,0,0,0,0
1,HBD,0,0,0,0,0,0,1,0,0,0
1,FLUX,0,0,0,0,1,1,0,0,0,0
1,J,0,0,1,0,0,0,0,0,0,0
1,SANTOS,0,0,0,0,1,1,0,0,0,0
1,PORTO,0,0,0,0,1,0,0,0,0,0
1,GALFT,0,0,1,0,0,0,0,0,0,0
1,CHESS,0,0,0,0,1,1,0,0,0,0
1,FOXY,0,0,1,0,0,0,0,0,0,0
1,LAZIO,0,0,0,0,1,0,0,0,0,0
1,META,0,0,0,0,0,0,1,0,0,0
1,DF,0,0,0,0,1,1,0,0,0,0
1,GAME2,0,0,0,0,0,0,1,0,0,0
1,HOPR,1,0,0,0,0,0,0,0,0,0
1,DORA,0,0,1,0,0,0,0,0,0,0
1,STRIKE,0,0,0,0,0,0,1,0,0,0
