symbol,baseAsset,quoteAsset,status,exchange,type,trading_type,korean_name,english_name,trade_price,change,change_rate,high_price,low_price,acc_trade_volume_24h,acc_trade_price_24h,timestamp
BTC-BERA,BERA,BTC,TRADING,upbit,spot,现货,베라체인,Berachain,1.535e-05,FALL,0.0370138018,1.535e-05,1.535e-05,628.38689882,0.00981557,1754148391302
BTC-FIL,FIL,BTC,TRADING,upbit,spot,现货,파일코인,Filecoin,2.038e-05,RISE,0.0119165839,2.053e-05,2.014e-05,12895.19112128,0.26110335,1754148390635
BTC-SIGN,SIGN,BTC,TRADING,upbit,spot,现货,사인,Sign,6e-07,FALL,0.0625,6.1e-07,6e-07,12097.77206366,0.00725866,1754092617119
BTC-VIRTUAL,VIRTUAL,BTC,TRADING,upbit,spot,现货,버추얼프로토콜,Virtuals Protocol,1.035e-05,FALL,0.0641952984,1.068e-05,1.024e-05,13.93171402,0.00014419,1754113616320
BTC-BAT,BAT,BTC,TRADING,upbit,spot,现货,베이직어텐션토큰,Basic Attention Token,1.29e-06,FALL,0.0076923077,1.29e-06,1.29e-06,355.68145135,0.00046192,1754148390084
KRW-WAXP,WAXP,KRW,TRADING,upbit,spot,现货,왁스,WAX,28.3,FALL,0.0104895105,29.0,28.0,18055159.70501238,514255447.04581195,1754148390448
USDT-PEPE,PEPE,USDT,TRADING,upbit,spot,现货,페페,Pepe,1.043e-05,RISE,0.043,1.122e-05,1.043e-05,71613622.70403919,743.17349778,1754148391083
BTC-BAR,BAR,BTC,TRADING,upbit,spot,现货,FC바르셀로나,FC Barcelona Fan Token,1.016e-05,RISE,0.0388548057,1.016e-05,1.016e-05,7.86903404,7.995e-05,1754148390835
USDT-WCT,WCT,USDT,TRADING,upbit,spot,现货,월렛커넥트,WalletConnect,0.2867,FALL,0.0881043257,0.3061,0.2867,3.29815303,0.94558047,1754126696404
KRW-CARV,CARV,KRW,TRADING,upbit,spot,现货,카브,CARV,379.0,FALL,0.0104438642,385.0,372.0,3069025.70994489,1167546200.899276,1754148391128
KRW-LSK,LSK,KRW,TRADING,upbit,spot,现货,리스크,Lisk,566.0,RISE,0.0017699115,575.0,559.0,929942.58961306,526312417.70656043,1754148390154
USDT-DOGE,DOGE,USDT,TRADING,upbit,spot,现货,도지코인,Dogecoin,0.1952,FALL,0.0473401659,0.2039,0.1952,49853.31058276,9855.62108065,1754148390333
USDT-AXL,AXL,USDT,TRADING,upbit,spot,现货,엑셀라,Axelar,0.3476,FALL,0.1177664975,0.3476,0.3476,143.84349827,50.0,1753988756493
BTC-SCR,SCR,BTC,TRADING,upbit,spot,现货,스크롤,Scroll,2.43e-06,FALL,0.028,2.56e-06,2.42e-06,32993.7257645,0.08174029,1754148391293
USDT-JASMY,JASMY,USDT,TRADING,upbit,spot,现货,재스미코인,JasmyCoin,0.01433,FALL,0.1224739743,0.01503,0.01433,547.59889999,7.93423405,1754148391196
BTC-VANA,VANA,BTC,TRADING,upbit,spot,现货,바나,Vana,4.251e-05,RISE,0.0162562754,4.251e-05,4.251e-05,118.22744285,0.00502585,1753892016350
BTC-LWA,LWA,BTC,TRADING,upbit,spot,现货,루미웨이브,LumiWave,1.4e-07,EVEN,0.0,1.4e-07,1.3e-07,1478288.79462389,0.20212084,1754148390569
BTC-DGB,DGB,BTC,TRADING,upbit,spot,现货,디지바이트,DigiByte,8e-08,RISE,0.1428571429,8e-08,7e-08,2317080.0,0.1622106,1754148390082
USDT-BONK,BONK,USDT,TRADING,upbit,spot,现货,봉크,Bonk,2.545e-05,FALL,0.0234075211,2.545e-05,2.545e-05,45334797.41619155,1178.74117594,1754148391147
BTC-BCH,BCH,BTC,TRADING,upbit,spot,现货,비트코인캐시,Bitcoin Cash,0.00473057,FALL,0.0139016855,0.00480103,0.00470815,6.39067154,0.03036636,1754148390269
BTC-JASMY,JASMY,BTC,TRADING,upbit,spot,现货,재스미코인,JasmyCoin,1.3e-07,EVEN,0.0,1.3e-07,1.3e-07,5704.5,0.00074159,1754148391196
KRW-BORA,BORA,KRW,TRADING,upbit,spot,现货,보라,BORA,130.0,FALL,0.0076335878,132.0,129.0,7707058.25484434,1005765228.3269646,1754148390546
KRW-PUNDIX,PUNDIX,KRW,TRADING,upbit,spot,现货,펀디엑스,Pundi X,415.0,FALL,0.0119047619,424.0,411.0,2018436.37217256,844298406.7882282,1754148390701
BTC-ORBS,ORBS,BTC,TRADING,upbit,spot,现货,오브스,Orbs,1.6e-07,EVEN,0.0,1.6e-07,1.6e-07,4000.0,0.00064,1754148390409
USDT-WAL,WAL,USDT,TRADING,upbit,spot,现货,월러스,Walrus,0.3774,FALL,0.0484114977,0.3774,0.3774,0.10702811,0.04039241,1754148391356
KRW-BAT,BAT,KRW,TRADING,upbit,spot,现货,베이직어텐션토큰,Basic Attention Token,205.0,FALL,0.0048543689,211.0,202.0,2541123.75891737,524898560.492922,1754148390285
KRW-HUNT,HUNT,KRW,TRADING,upbit,spot,现货,헌트,HUNT,351.0,EVEN,0.0,365.0,350.0,2106684.82901583,749605229.9646938,1754148390579
KRW-PENGU,PENGU,KRW,TRADING,upbit,spot,现货,펏지펭귄,Pudgy Penguins,47.8,RISE,0.0042016807,51.0,46.9,1527721220.4818442,73978377856.23955,1754148391403
KRW-FIL,FIL,KRW,TRADING,upbit,spot,现货,파일코인,Filecoin,3244.0,RISE,0.0102771722,3261.0,3178.0,362880.31914542,1164947589.8131495,1754148391364
BTC-ANIME,ANIME,BTC,TRADING,upbit,spot,现货,애니메코인,Animecoin,1.4e-07,EVEN,0.0,1.4e-07,1.4e-07,101579.07798783,0.01422108,1754148391261
BTC-ORCA,ORCA,BTC,TRADING,upbit,spot,现货,오르카,Orca,2.047e-05,FALL,0.0770964833,2.047e-05,2.047e-05,159.81057645,0.00327132,1753948496418
KRW-BEAM,BEAM,KRW,TRADING,upbit,spot,现货,빔,Beam,9.4,RISE,0.008583691,9.54,9.11,118383551.4126972,1109085758.5651934,1754148390987
BTC-SOON,SOON,BTC,TRADING,upbit,spot,现货,쑨,SOON,1.39e-06,RISE,0.0296296296,1.4e-06,1.3e-06,2126830.18291908,2.84899391,1754148391428
BTC-LRC,LRC,BTC,TRADING,upbit,spot,现货,루프링,Loopring,7e-07,RISE,0.0144927536,7.1e-07,6.9e-07,15241.51676545,0.01054561,1754148390212
BTC-TOKAMAK,TOKAMAK,BTC,TRADING,upbit,spot,现货,토카막네트워크,Tokamak Network,1.231e-05,EVEN,0.0,1.231e-05,1.231e-05,7.5852965,9.337e-05,1754148390547
BTC-SOPH,SOPH,BTC,TRADING,upbit,spot,现货,소폰,Sophon,3.5e-07,RISE,0.0606060606,3.6e-07,3.5e-07,33473.6763792,0.01203218,1754148391442
BTC-STRAX,STRAX,BTC,TRADING,upbit,spot,现货,스트라티스,Stratis,4.1e-07,EVEN,0.0,4.1e-07,4.1e-07,1635.33633525,0.00067049,1754018095740
KRW-WAVES,WAVES,KRW,TRADING,upbit,spot,现货,웨이브,Waves,1438.0,RISE,0.0473415878,1523.0,1362.0,6031196.55670143,8692687812.2485,1754148390143
KRW-USDC,USDC,KRW,TRADING,upbit,spot,现货,유에스디코인,USD Coin,1405.0,RISE,0.0078909613,1406.0,1391.0,1211892.027335,1693463358.9689474,1754148391088
KRW-MOVE,MOVE,KRW,TRADING,upbit,spot,现货,무브먼트,Movement,180.0,EVEN,0.0,183.0,176.0,33140999.55811511,5953550933.587641,1754148391215
BTC-GLMR,GLMR,BTC,TRADING,upbit,spot,现货,문빔,Moonbeam,5.8e-07,FALL,0.0169491525,5.8e-07,5.7e-07,566088.4793362,0.32372093,1754148390922
KRW-AERGO,AERGO,KRW,TRADING,upbit,spot,现货,아르고,Aergo,157.0,FALL,0.01875,161.0,155.0,11629077.53136664,1840795741.0034287,1754148390416
KRW-USDT,USDT,KRW,TRADING,upbit,spot,现货,테더,Tether,1402.0,RISE,0.0057388809,1405.0,1392.0,69518930.84272228,97134424048.36621,1754148391007
BTC-LSK,LSK,BTC,TRADING,upbit,spot,现货,리스크,Lisk,3.68e-06,FALL,0.0822942643,3.68e-06,3.68e-06,64.53473887,0.00023749,1753966195077
USDT-RENDER,RENDER,USDT,TRADING,upbit,spot,现货,렌더토큰,Render Token,3.409,FALL,0.1036024191,3.517,3.409,13.0698006,44.56926915,1754148391203
